Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жайворон,Левко,Олександрович,Чоловіча,1939-10-29,Дизайнер,село Кіцмань,"парк Лютнева, буд. 575 кв. 2, Перещепине, 29792",459 17 80,baranvira@example.org
Джус,Аркадій,Дмитрович,Чоловіча,2007-09-19,Нотаріус,хутір Федорівка,"узвіз Воронезька, буд. 25, Здолбунів, 04398",+380 05 043-97-83,snizhana29@example.net
Александренко,Софія,Григорівна,Жіноча,1992-12-26,Паблік рилейшнз,хутір Запоріжжя,"вулиця Чубаївський, буд. 4, Тлумач, 04480",192-09-92,ieva38@example.org
Чумак,Єва,Володимирівна,Жіноча,1941-10-17,Правник,село Кадіївка,"парк Соляний 6-й, буд. 1, Іллінці, 11408",005 561 06 01,saienkoalbert@example.net
Рубан,Ада,Євгенівна,Жіноча,1953-01-13,Літературознавець,місто Новий Буг,"набережна Володимира Хавкіна, буд. 2 кв. 535, Рубіжне, 09886",080 190-00-71,orkhyp35@example.org
Гузенко,Розалія,Василівна,Жіноча,1970-10-16,Фермер,село Заводське,"сквер Бориса Дерев'янка, буд. 3 кв. 24, Апостолове, 56956",460-85-84,jakulenko@example.org
Чуйко,Нестор,Володимирович,Чоловіча,1965-05-22,Льотчик,село Дніпрорудне,"площа 3-тя Суворовська, буд. 279 кв. 5, Овруч, 55961",288 48 71,colifirenko@example.com
Годунок,Аніта,Григорівна,Жіноча,1995-01-07,Фотограф,місто Лиман ,"шосе Князівський, буд. 94, Зугрес, 51535",026 748 88 44,vadymshchors@example.com
Абрагамовська,Валентина,Петрівна,Жіноча,1974-08-01,Піаніст,село Кадіївка,"набережна Хвойний, буд. 8 кв. 0, Хорол , 91515",+380 36 666-00-15,venedykt08@example.com
Нестайко,Богдан,Павлович,Чоловіча,1942-10-29,Математик,хутір Моршин,"набережна Деволанівська, буд. 56, Звенигородка, 45927",+380 (36) 238-69-90,zaietssvitlana@example.com
Мірошниченко,Борис,Сергійович,Чоловіча,1944-11-13,Швачка,селище Берегове,"сквер Пейзажна, буд. 76 кв. 70, Полонне, 64924",+380 13 896-71-38,vyshyvanarozaliia@example.com
Чумак,Алла,Дмитрівна,Жіноча,1979-10-17,Електрик,місто Суходільськ,"вулиця Красива, буд. 9, Глиняни, 74343",+380 79 850-84-28,hkalchenko@example.org
Охримович,Устим,Вікторович,Чоловіча,1980-06-26,Пілот,село Чорноморськ,"площа Багрицького, буд. 4 кв. 699, Чоп, 87567",099 557-23-82,opanas96@example.net
Іващенко,Зорян,Олександрович,Чоловіча,1949-02-15,Випробувач,село Заставна,"парк Перша, буд. 4 кв. 52, Ірпінь, 28235",+380 (54) 022-46-31,mykhailynapetrenko@example.org
Тарасенко,Артем,Юрійович,Чоловіча,1969-11-01,Прокурор,хутір Бережани,"сквер Рибальський, буд. 8, Білопілля, 07225",016 348 42 47,anzhelaasaula@example.net
Скопенко,Симон,Богданович,Чоловіча,1976-03-02,Футболіст,місто Перещепине,"набережна Аеродромний 3-й, буд. 21, Благовіщенське, 62422",+380 40 264 66 33,talanoles@example.net
Єрошенко,Кирило,Андрійович,Чоловіча,1979-10-19,Економіст,місто Буськ,"набережна Сибірська, буд. 8, Бахчисарай, 26426",+380 47 634-74-46,aaron94@example.org
Скопенко,Мирослав,Віталійович,Чоловіча,1998-10-30,Перекладач,селище Олександрія,"шосе Київське, буд. 0 кв. 03, Тернопіль, 18961",+380 96 661 03 29,ustenkomykolai@example.org
Ґерета,Камілла,Дмитрівна,Жіноча,1953-03-08,Парфюмер,село Турка,"набережна Льва Толстого, буд. 70, Любомль, 02721",+380 (40) 616-40-57,dupliiodarka@example.net
Устенко,Кирило,Богданович,Чоловіча,1988-06-19,Скульптор,хутір Іловайськ,"проспект Якутська, буд. 858 кв. 26, Благовіщенське, 20316",809-29-86,tymofii07@example.com
Карпа,Борислав,Віталійович,Чоловіча,1980-01-13,Юрист,хутір Радехів,"сквер Кришталевий, буд. 97, Часів Яр, 53848",793-72-50,vasyl00@example.org
Демʼянюк,Вікторія,Сергіївна,Жіноча,1971-06-12,Детектив,село Бахмач,"проспект Овідіопольська дорога, буд. 198 кв. 16, Деражня, 37283",011 994 95 16,verhunhanna@example.com
Дашкевич,Зиновій,Ярославович,Чоловіча,2005-05-28,Гицель,село Шаргород,"набережна Цегельнозаводська, буд. 6, Славутич, 09361",303-69-02,xshynkarenko@example.net
Ажажа,Анастасія,Іванівна,Жіноча,1953-12-09,Круп'є,хутір Новоселиця,"сквер Палія Семена, буд. 8, Зимогір'я, 51135",619-81-59,viktoraverchenko@example.com
Петрик,Сніжана,Федорівна,Жіноча,1971-09-09,Круп'є,хутір Ізмаїл,"вулиця Іванова 2-й, буд. 1 кв. 20, Заліщики, 27387",+380 14 650-15-38,oleksaavramchuk@example.net
Василашко,Євген,Федорович,Чоловіча,1948-09-24,Адвокат,місто Люботин,"вулиця 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 02, Підгородне, 49369",+380 97 845-84-46,parmen22@example.com
Аврамчук,Пантелеймон,Васильович,Чоловіча,1962-04-09,Кінорежисер,селище Городище ,"провулок Середньофонтанський, буд. 89, Ворожба, 76010",+380 93 003 18 25,oleh60@example.net
Даценко,Соломія,Григорівна,Жіноча,1997-02-24,Електромонтажник,місто Жидачів,"вулиця Круговий, буд. 77, Зборів, 42894",042 43 49,vadym21@example.com
Батіг,Нестор,Григорович,Чоловіча,1969-03-27,Реабілітолог,місто Кремінна,"площа 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 098 кв. 2, Обухів, 97794",+380 18 770 46 99,khomareva@example.com
Цимбал,Павло,Богданович,Чоловіча,1967-07-25,Фольклорист,хутір Нікополь,"площа Грузинська, буд. 57, Хрестівка, 13117",+380 58 280-22-13,iaryna85@example.org
Гузій,Амалія,Леонідівна,Жіноча,1973-10-25,Ґрунтознавець,хутір Берестечко,"площа Хімічний 2-й, буд. 8 кв. 9, Шахтарськ, 99034",066 745-14-84,vitaliialeksiuk@example.org
Черінько,Соломія,Федорівна,Жіноча,1994-10-17,Епідеміолог,село Красноград,"провулок Амурський 2-й, буд. 8, Авдіївка, 96307",067 485-53-82,spasteslenko@example.org
Штокало,Єлисей,Іванович,Чоловіча,1988-09-10,Електромонтер,селище Луцьк,"парк Василя Кандинського 5-й, буд. 58, Збараж, 50185",065 382 95 03,kbaturynets@example.org
Радченко,Алевтин,Дмитрович,Чоловіча,2002-09-21,Кінокритик,хутір Вовчанськ,"парк Світла, буд. 3, Путивль, 01329",+380 32 496-18-27,irynacharnysh@example.com
Чекалюк,Анастасія,Володимирівна,Жіноча,1985-06-04,Кінокритик,хутір Подільськ,"набережна Наявний 4-й, буд. 767 кв. 1, Зіньків, 05668",458 52 61,oles49@example.com
Зінченко,Омелян,Павлович,Чоловіча,1965-01-24,Зоолог,хутір Зоринськ,"проспект Нова, буд. 7 кв. 98, Токмак, 33168",+380 (48) 793-14-31,bazylevychmariana@example.org
Єресько,Миколай,Олександрович,Чоловіча,1970-10-02,Бібліограф,місто Олешки,"шосе Деревообробний 1-й, буд. 7, Великі Мости, 46245",+380 20 897 11 28,markopoltavets@example.org
Яковенко,Вадим,Петрович,Чоловіча,1991-08-07,Піаніст,селище Волноваха,"провулок Грецька, буд. 78 кв. 9, Яворів, 20959",+380 12 895 39 53,pasaula@example.com
Артюшенко,Степан,Романович,Чоловіча,1989-11-08,Будник,селище Благовіщенське,"площа Молоді, буд. 210, Бобринець, 72167",047 030-15-18,priskaiatseniuk@example.net
Закусило,Пріска,Віталіївна,Жіноча,1971-04-16,Євнух,хутір Бориспіль,"провулок Велика Арнаутська, буд. 763, Вилкове, 92015",+380 (65) 865-19-65,wkorzh@example.net
Пустовіт,Климент,Григорович,Чоловіча,1968-11-10,Флорист,селище Кам'янське,"набережна Івана Микитенка, буд. 58, Шумськ, 56928",400-80-80,mykhailo17@example.com
Даценко,Гордій,Дмитрович,Чоловіча,1980-03-23,Пілот,місто Керч,"набережна Миколи Вороного, буд. 35 кв. 5, Лебедин, 42440",+380 27 016-48-65,ygalagan@example.com
Остапчук,Аркадій,Богданович,Чоловіча,1955-01-18,Географ,селище Бахчисарай,"проспект Лютеранський, буд. 1 кв. 5, Дружківка, 18671",298 21 02,klavdiiachubai@example.org
Туркало,Віра,Іванівна,Жіноча,1976-04-04,Економіст,селище Мерефа,"проспект Дніпропетровська дорога, буд. 3, Селидове, 44775",059 284 84 42,shovkopliasdemyd@example.net
Овчаренко,Орест,Віталійович,Чоловіча,1973-12-10,Ґрунтознавець,селище Кам'янка-Бузька,"провулок Каштанова, буд. 126 кв. 1, Курахове, 18287",040 595-27-65,zynovii20@example.com
Яремків,Альбіна,Євгенівна,Жіноча,1990-02-20,Математик,місто Покровськ,"набережна Туристська, буд. 80 кв. 653, Сватове, 70672",084 063 24 85,ghuzii@example.com
Яременко,Світлана,Володимирівна,Жіноча,1948-09-08,Складальник,хутір Новоукраїнка,"сквер Академіка Вільямса, буд. 32, Київ, 11584",+380 10 509-85-49,banduraliudmyla@example.net
Сич,Демид,Романович,Чоловіча,1980-07-05,Астрофізик,село Тараща,"площа Аеропортівський 5-й, буд. 69 кв. 151, Голубівка, 62873",+380 65 346-29-55,orynavasylenko@example.net
Хмара,Георгій,Федорович,Чоловіча,1971-09-28,Програміст,хутір Борислав,"парк Джутовий, буд. 84, Добропілля, 44063",+380 45 377-44-27,roksolanadeisun@example.org
Дубина,Андрій,Віталійович,Чоловіча,1943-09-15,Громадський діяч,село Ужгород,"проспект Подільська, буд. 2, Ковель, 23554",+380 24 433-78-57,opanasshchors@example.org
Щербань,Євген,Григорович,Чоловіча,1960-01-30,Режисер,хутір Кривий Ріг,"вулиця Леваневського, буд. 601 кв. 8, Горішні Плавні, 02567",024 604-27-64,rabramenko@example.com
Олійник,Наталія,Василівна,Жіноча,1939-05-06,Сценарист,село Ямпіль,"сквер Рішельєвська, буд. 653, Зоринськ, 87856",+380 56 483-56-21,nzaruba@example.com
Валенко,Богдан,Дмитрович,Чоловіча,1992-10-07,Композитор,селище Лебедин,"провулок Першотравневий 3-й, буд. 99, Монастириська, 37337",+380 (85) 154-75-38,mykhailiukmarta@example.com
Шелест,Арсен,Володимирович,Чоловіча,1957-02-08,Дизайнер,місто Кам'янське,"сквер Цементний, буд. 84, Христинівка, 67607",+380 92 663-13-69,vabrahamovska@example.com
Абрамчук,Ярослава,Віталіївна,Жіноча,1962-03-01,Зоолог,місто Сєвєродонецьк,"проспект Платанова, буд. 879 кв. 8, Моспине, 21882",+380 (59) 782-47-12,artem20@example.org
Андрійчук,Веніямин,Павлович,Чоловіча,2003-08-31,Бізнесмен,село Надвірна,"набережна Марії Демченко, буд. 980, Кілія, 58625",+380 54 912 24 70,aaron00@example.com
Малик,Валентин,Євгенович,Чоловіча,1975-05-16,Стиліст,місто Костянтинівка,"вулиця Волниста, буд. 61, Бахмач, 11271",+380 90 545-65-84,pneporozhnii@example.net
Демʼянюк,Едита,Володимирівна,Жіноча,1941-10-08,Водій,село Броди,"парк Дюківська, буд. 76, Андрушівка, 38227",+380 (34) 768-87-57,andriiovychopanas@example.org
Лукаш,Андрій,Ярославович,Чоловіча,1999-12-14,Актор,хутір Залізне,"парк Краснослобідський, буд. 80, Новомиргород, 80837",+380 02 748-39-88,vlasenkoavrelii@example.com
Чміль,Семен,Вікторович,Чоловіча,1971-10-18,Архітектор,хутір Щолкіне,"вулиця Лінія 28-ма, буд. 77 кв. 31, Харків, 12702",+380 38 464-24-87,hresvioletta@example.com
Лемешко,Орина,Віталіївна,Жіноча,1979-10-26,Кухар,місто Борислав,"набережна Восьмого Березня Лінія 5-та, буд. 69 кв. 36, Галич, 28305",+380 24 473-51-08,wbaklan@example.com
Конопля,Тарас,Сергійович,Чоловіча,1955-01-21,Мінералог,місто Боярка,"шосе Єнісейська, буд. 270 кв. 35, Первомайськ, 90694",187 81 25,hryhoriibandura@example.com
Акименко,Орхип,Юрійович,Чоловіча,2002-09-29,Фрілансер,селище Чортків,"набережна Пересипська 8-ма, буд. 0 кв. 911, Хмільник, 05053",046 298-35-05,bandrusenko@example.net
Ажажа,Пантелеймон,Дмитрович,Чоловіча,1968-04-29,Пекар,місто Новомиргород,"площа 5-та Суворовська, буд. 9 кв. 9, Глухів, 08681",079 859 94 29,lahodafeofan@example.org
Зінкевич,Віолетта,Романівна,Жіноча,1995-06-21,Ветеринар,місто Старобільськ,"парк 12-та Суворовська, буд. 1, Мостиська, 94526",+380 52 515 47 51,danylo83@example.com
Бандера,Спас,Григорович,Чоловіча,1942-04-30,Геофізик,місто Вараш,"узвіз Хвойний, буд. 320, Буськ, 17778",+380 (43) 698-31-36,pavlychenkoerika@example.com
Тесленко,Вʼячеслав,Павлович,Чоловіча,1989-09-07,Скульптор,село Долина ,"парк Алмазна, буд. 733, Ірпінь, 13820",968 26 35,khrystyna59@example.org
Чекалюк,Остап,Сергійович,Чоловіча,2001-10-01,Журналіст,село Феодосія,"проспект Восьмого Березня Лінія 5-та, буд. 30 кв. 387, Кадіївка, 31130",+380 11 429-44-98,bohdannaiesypenko@example.com
Андрійчук,Руслан,Петрович,Чоловіча,1973-02-15,Бухгалтер,місто Алушта,"площа 19-й км Старокиївської дороги, буд. 060 кв. 19, Володимир-Волинський, 32854",590-75-77,uiakovenko@example.net
Єрченко,Дарина,Вікторівна,Жіноча,2004-10-12,Хореограф,хутір Середина-Буда,"провулок Наклонна, буд. 7 кв. 676, Костянтинівка, 01706",+380 46 928 46 01,lukasholeh@example.com
Тичина,Єфрем,Богданович,Чоловіча,1939-03-11,Психолог,село Золоте,"узвіз Амундсена, 1-й, буд. 89, Роздільна, 14118",791-65-57,btaran@example.com
Титаренко,Гордій,Григорович,Чоловіча,1969-07-04,Реабілітолог,хутір Вознесенськ,"проспект Макаренка, буд. 8 кв. 1, Феодосія, 93398",054 38 94,iatseniukpavlo@example.org
Каденюк,Омелян,Романович,Чоловіча,1991-10-08,Нотаріус,селище Сторожинець,"шосе Шахтинський, буд. 28 кв. 73, Новоукраїнка, 02785",+380 (50) 886-65-06,jvyshniak@example.net
Гайдабура,Борислав,Андрійович,Чоловіча,1998-12-22,Клоун,село Монастириська,"площа Академіка Вільямса, буд. 24 кв. 312, Камінь-Каширський, 38743",000 522 33 87,vzakharchenko@example.net
Примаченко,Мирон,Дмитрович,Чоловіча,2000-10-13,Математик,село Буча,"провулок Донецька, буд. 0 кв. 996, Чоп, 74978",+380 (53) 116-84-92,olena91@example.net
Сірченко,Юхим,Володимирович,Чоловіча,2001-03-27,Маркетолог,село Сокиряни,"парк Тульська, буд. 73, Синельникове, 08272",034 362-46-91,larysahaidenko@example.net
Фастенко,Юстина,Іванівна,Жіноча,1974-12-05,Мікробіолог,селище Трускавець,"узвіз Маршала Бабаджаняна, буд. 0 кв. 27, Зеленодольськ, 05275",071 916 63 25,svitruk@example.net
Гриценко,Ганна,Юріївна,Жіноча,2003-10-23,Літературознавець,місто Рені,"сквер Кузнечна, буд. 208 кв. 0, Вільногірськ, 18267",+380 31 087 65 43,oleksa09@example.org
Лагода,Аліна,Ярославівна,Жіноча,2007-08-29,Скульптор,селище Чистякове,"проспект Мазепи Івана, буд. 68, Святогірськ, 77185",+380 (64) 948-50-61,barabashorkhyp@example.com
Конопля,Зиновій,Федорович,Чоловіча,1957-07-02,Філолог,хутір Довжанськ,"провулок Китобійний 2-й, буд. 6, Верхівцеве, 76656",+380 (04) 459-27-64,dchalenko@example.net
Проценко,Софія,Вікторівна,Жіноча,1985-12-03,Електромонтер,хутір Болград,"проспект Геранієва, буд. 422 кв. 87, Іловайськ, 01109",+380 90 108 04 24,paliilukian@example.com
Христич,Віра,Леонідівна,Жіноча,1966-03-06,Локсмайстер,селище Перемишляни,"шосе Обривиста, буд. 302, Пологи , 37610",+380 42 944-37-95,viraandriishyn@example.org
Ємельяненко,Юхим,Петрович,Чоловіча,1963-08-26,Кінолог,хутір Остер ,"шосе Космонавта Комарова, буд. 65, Вараш, 80602",730 62 51,zinkevycheduard@example.org
Ващенко-Захарченко,Соломон,Васильович,Чоловіча,2007-01-27,Вчитель,місто Калинівка ,"сквер 6-та Суворовська, буд. 7 кв. 4, Кам'янець-Подільський, 58873",075 559-12-54,stanislaviushchenko@example.com
Чабан,Микита,Володимирович,Чоловіча,1955-05-01,Фрілансер,місто Тараща,"провулок Сортувальна 1-ша, буд. 3, Хрустальний, 86172",+380 (91) 439-53-98,vertyporokhvenedykt@example.net
Червоненко,Богуслава,Сергіївна,Жіноча,2000-02-07,Клоун,село Калинівка ,"узвіз Пестеля, буд. 0 кв. 361, Яремче, 16955",+380 34 601-66-46,ruslandanko@example.net
Фаренюк,Симон,Павлович,Чоловіча,1967-08-02,Шериф,хутір Галич,"набережна Дзвінка, буд. 84 кв. 90, Носівка, 26079",+380 41 093-56-29,nadiia58@example.net
Калениченко,Наталія,Романівна,Жіноча,1996-02-25,Паралегал,місто Богуслав,"узвіз Монастирський, буд. 623, Золоте, 43323",+380 (47) 106-79-31,artymlevko@example.com
Михайличенко,Данило,Андрійович,Чоловіча,1972-04-09,Сантехнік,хутір Луганськ,"площа Водопровідна, буд. 504 кв. 83, Самбір, 41010",+380 54 124-24-83,zynoviihaidabura@example.net
Демиденко,Олександр,Григорович,Чоловіча,2001-03-24,Кінолог,хутір Сулимівка (Слов'янськ),"узвіз Стамбульський, буд. 5 кв. 08, Кропивницький, 60905",+380 53 185 00 89,zinkevychada@example.com
Абраменко,Богдан,Ярославович,Чоловіча,1964-08-29,Маркетолог,хутір Новояворівськ,"проспект Полтавська, буд. 4 кв. 869, Кропивницький, 61481",+380 78 823-04-02,evernyhora@example.net
Дрозд,Марко,Миколайович,Чоловіча,1984-08-08,Кухар,хутір Карлівка,"сквер Банний, буд. 979 кв. 227, Дрогобич, 86800",239-27-75,rzarudna@example.org
Дацюк,Ігор,Андрійович,Чоловіча,1948-05-05,Бухгалтер,село Заводське,"площа Крушельницької, буд. 789 кв. 75, Амвросіївка, 89108",+380 59 866 14 12,valeriidanchenko@example.com
Гузь,Аркадій,Ярославович,Чоловіча,1995-06-15,Стропальник,селище Білогірськ,"проспект Шишкіна, буд. 91, Гуляйполе, 05680",647-57-97,nazar39@example.com
Сімашкевич,Єлисей,Олександрович,Чоловіча,1993-03-03,Футболіст,хутір Калуш,"узвіз Садиковська, буд. 877 кв. 777, Новий Калинів, 15461",610-33-35,tlubenets@example.net
Кармалюк,Опанас,Віталійович,Чоловіча,1944-07-18,Секретар,село Костянтинівка,"провулок Амурський 1-й, буд. 190 кв. 9, Волноваха, 63986",+380 85 240 90 98,orest95@example.org
Гузь,Федір,Павлович,Чоловіча,1984-02-02,Медик,місто Новоазовськ,"провулок Мінська, буд. 2 кв. 91, Чугуїв, 88380",+380 62 043 40 49,chornovilartem@example.com
Асаула,Амалія,Богданівна,Жіноча,1994-03-15,Кухар,селище Прилуки,"шосе Манежний, буд. 392 кв. 534, Першотравенськ, 05719",+380 47 419-09-50,anzhelatverdokhlib@example.com
Скирда,Демид,Дмитрович,Чоловіча,1986-09-14,Швачка,місто Заліщики,"вулиця Балтський 7-й, буд. 92 кв. 7, Лутугине, 29563",022 912 09 31,wteslia@example.net
Кибкало,Марина,Євгенівна,Жіноча,1967-02-20,Диригент,хутір Білогірськ,"площа Маршала Бабаджаняна, буд. 04, Волочиськ, 63548",+380 83 906 32 69,orysiabaida@example.net
Приймак,Анастасія,Віталіївна,Жіноча,1960-12-25,Астрофізик,село Бунге ,"шосе Елеваторна, буд. 8, Снігурівка, 13911",079 928-89-63,tkachenkohryhorii@example.com
Тесленко,Пармен,Юрійович,Чоловіча,1948-01-10,Паблік рилейшнз,селище Малин,"проспект Софії Перовської, буд. 2 кв. 897, Сватове, 70578",+380 73 661 36 36,arsenkorzh@example.org
Дубина,Мартин,Леонідович,Чоловіча,1986-11-11,Бухгалтер,селище Южноукраїнськ,"сквер Молодіжна, буд. 96, Малин, 51357",899-47-48,adamiashchenko@example.org
Сич,Святослав,Віталійович,Чоловіча,1978-12-08,Футболіст,місто Городенка,"сквер Ризька, буд. 51, Дніпрорудне, 20253",063 482-59-80,smykhailiuk@example.com
Данчук,Любов,Іванівна,Жіноча,1956-08-04,Ювелір,хутір Полтава,"шосе Вертелецького, буд. 4, Дубно, 73266",325 47 71,azarkadeniuk@example.com
Якимчук,Демид,Вікторович,Чоловіча,1958-10-18,Краєзнавець,хутір Підгайці,"проспект Академіка Богатського, буд. 02, Іловайськ, 71319",+380 53 903-76-96,dshtokalo@example.net
Щириця,Пармен,Дмитрович,Чоловіча,1946-08-10,Геофізик,хутір Бердичів,"узвіз Десятого квітня, буд. 3 кв. 21, Лисичанськ, 55028",+380 42 282 79 49,ivanievdokymenko@example.org
Ковпак,Августин,Петрович,Чоловіча,1968-05-27,Парфюмер,селище Сміла,"площа Жевахова, буд. 471, Молодогвардійськ, 11165",083 110-39-14,brudko@example.org
Піддубна,Ростислав,Іванович,Чоловіча,1983-07-09,Євнух,село Корець,"сквер Новий, буд. 34 кв. 3, Шахтарськ, 42834",970 72 64,iakiv40@example.com
Ващенко,Єфрем,Васильович,Чоловіча,2005-02-05,Льотчик,місто Шепетівка,"узвіз Сєрогодського, буд. 22 кв. 865, Кривий Ріг, 31562",022 420 22 91,vladyslavvakhnii@example.org
Юрченко,Ірена,Юріївна,Жіноча,1989-04-02,Лікар,місто Знам'янка,"проспект Український 1-й, буд. 58 кв. 6, Вінниця, 83218",+380 91 580-05-74,teodorfareniuk@example.org
Скорик,Мілена,Євгенівна,Жіноча,1978-09-05,Психолог,селище Остер ,"шосе Іванова, буд. 5, Біляївка, 38408",244-73-16,alinaishchenko@example.net
Канівець,Мирон,Віталійович,Чоловіча,1962-08-05,Педагог,місто Виноградів,"площа Ф. Пішеніна, буд. 3, Жидачів, 43701",+380 46 659-19-54,onyshchenkosvitlana@example.com
Безбородько,Віолетта,Богданівна,Жіноча,1981-03-17,Психолог,хутір Перещепине,"провулок Пресича Олександра, буд. 37, Кипуче, 17300",951-91-14,orlykklyment@example.com
Дараган,Левко,Сергійович,Чоловіча,1946-10-30,Електротехнік,місто Борзна,"набережна Чапаєва, буд. 96 кв. 2, Роздільна, 07956",+380 (02) 966-91-98,gbatiuk@example.org
Шморгун,Демид,Сергійович,Чоловіча,1953-09-10,Фізик,хутір Соснівка ,"узвіз Лінія 31-ша, буд. 80 кв. 125, Таврійськ, 22819",769 00 82,rromanenko@example.com
Баштан,Орися,Павлівна,Жіноча,1983-11-01,Бібліотекар,місто Новогродівка,"провулок Естонська, буд. 61, Кропивницький, 63264",439 26 49,iefymenkoleopold@example.net
Непорожній,Петро,Андрійович,Чоловіча,1956-10-06,Математик,місто Обухів,"шосе Амбулаторна, буд. 4, Борщів, 48360",+380 (38) 585-62-33,chaikamarko@example.net
Фаренюк,Спас,Володимирович,Чоловіча,1994-06-24,Співак,село Вишневе ,"провулок Восьмого березня 9-й, буд. 8 кв. 08, Буча, 10052",+380 52 531 05 56,saienkoprokhir@example.org
Хоменко,Кирило,Дмитрович,Чоловіча,1978-06-16,Фрілансер,хутір Глобине,"набережна Амурський 2-й, буд. 412 кв. 8, Бобринець, 18926",061 984 00 82,kozakiustym@example.com
Яременко,Венедикт,Вікторович,Чоловіча,1988-11-29,Журналіст,село Харцизьк,"провулок Деволанівський узвіз, буд. 17 кв. 700, Жовті Води, 35547",+380 66 571 02 71,gfranchuk@example.net
Деркач,Федір,Федорович,Чоловіча,1943-07-20,Журналіст,селище Роздільна,"сквер Закарпатська, буд. 709, Олешки, 47786",+380 87 274-60-22,havrylo21@example.net
Павленко,Єлисей,Сергійович,Чоловіча,1985-07-22,Провізор,місто Комарно,"узвіз Монастирський, буд. 6 кв. 603, Подільськ, 12892",+380 42 084 54 64,varfolomiiskopenko@example.net
Ірванець,Любов,Федорівна,Жіноча,1962-01-22,Геолог,хутір Рудки,"сквер Оранжерейний, буд. 155 кв. 9, Новий Калинів, 19861",+380 (87) 874-56-84,valenkoavhustyn@example.org
Дейнека,Гордій,Євгенович,Чоловіча,1939-07-20,Локсмайстер,селище Конотоп,"узвіз Літня, буд. 0 кв. 957, Путивль, 05620",+380 01 043 89 36,danylenkoorest@example.org
Кальченко,Станіслав,Андрійович,Чоловіча,1980-10-18,Мінералог,хутір Вишневе ,"проспект Сільська, буд. 866, Хрустальний, 71423",+380 57 056 62 36,uzabara@example.com
Вівчаренко,Тереза,Сергіївна,Жіноча,1947-05-20,Хореограф,селище Андрушівка,"парк Дніпропетровська дорога, буд. 756, Трускавець, 14608",+380 53 134-98-14,ktsiutsiura@example.org
Дейнека,Аліна,Віталіївна,Жіноча,1976-03-06,Ріелтор,село Бар,"провулок Бориса Дерев'янка, буд. 27 кв. 41, Соснівка , 73679",657 47 14,ostap05@example.com
Заруба,Златослава,Петрівна,Жіноча,1944-04-19,Акушер,місто Васильків,"шосе Літакова, буд. 82 кв. 25, Сарни, 85305",041 808 44 77,nbazylevych@example.com
Павличенко,Михайлина,Олександрівна,Жіноча,1943-03-08,Музикант,селище Яремче,"площа Мукачівський, буд. 743 кв. 207, Берегове, 37812",041 632-18-90,dchmil@example.net
Аронець,Єлисей,Богданович,Чоловіча,1990-03-08,Перекладач,місто Дружба ,"узвіз Варненська, буд. 46, Корець, 96534",+380 60 909 85 96,lsvyrydenko@example.org
Лагода,Пармен,Дмитрович,Чоловіча,1941-02-15,Електрик,хутір Білопілля,"площа Кісельова Ігоря, буд. 69 кв. 0, Канів, 46487",+380 06 469 37 24,aandroshchuk@example.net
Вакарчук,Богуслава,Вікторівна,Жіноча,1995-01-16,Фармацевт,селище Олевськ,"сквер Лесі Українки, буд. 065 кв. 1, Бахмач, 16207",+380 32 524 85 54,liudmylasirobaba@example.net
Височан,Валерій,Юрійович,Чоловіча,1962-09-27,Сантехнік,хутір Вінниця,"узвіз Умова, буд. 6, Берегове, 09080",021-94-83,hennadii47@example.net
Гайда,Максим,Миколайович,Чоловіча,1997-08-07,Ветеринар,хутір Синельникове,"парк Новгородська, буд. 85, Калинівка , 93800",+380 (20) 686-46-82,iefremaleksiuk@example.com
Макогон,Максим,Віталійович,Чоловіча,2001-12-27,Геолог,місто Мар'їнка,"проспект Чорноморський 10-й, буд. 5 кв. 95, Ніжин, 06669",308 51 77,zhaliloparmen@example.org
Ткач,Альбіна,Дмитрівна,Жіноча,1968-12-31,Редактор,місто Радивилів,"площа Пироговська, буд. 478 кв. 6, Трускавець, 86077",048 654-42-51,cchupryna@example.com
Михайлюк,Охрім,Сергійович,Чоловіча,2005-12-07,Гірник,хутір Сєвєродонецьк,"вулиця Толбухіна, буд. 68 кв. 0, Семенівка, 03553",+380 46 401 31 22,leonidbabiak@example.net
Ісаєнко,Лариса,Ярославівна,Жіноча,1950-10-21,Пілот,хутір Черкаси,"набережна Кренкеля, буд. 04, Пирятин, 55104",+380 43 487 66 89,levkoabramenko@example.org
Євдокименко,Валерій,Васильович,Чоловіча,2000-12-28,Електротехнік,хутір Христинівка,"шосе Транспортна, буд. 6 кв. 334, Вугледар, 28509",+380 03 497 05 91,pkomar@example.org
Гречко,Зорян,Романович,Чоловіча,1998-11-11,Мовознавець,селище Буськ,"проспект Польська, буд. 53 кв. 31, Хорол , 83159",042 425-78-24,bandurkasemen@example.net
Чайка,Пріска,Богданівна,Жіноча,2008-01-11,Громадський діяч,місто Старий Крим,"шосе Ламаний, буд. 641, Вуглегірськ, 88246",927 02 43,vysochannadiia@example.net
Оніщук,Павло,Євгенович,Чоловіча,1951-02-20,Медик,село Дніпрорудне,"площа Ширяївський, буд. 694, Хотин, 40478",+380 10 164 77 56,averchenkodemyd@example.com
